# Copyright (c) 2016 CJKVI Database
GHZR52674.01	⿲目亻⿱亠夫
GHZR52686.14	⿰目𤲅
GHZR52690.08	⿱⿰声皮目
GHZR52692.06	⿰目棃
GHZR52693.14	⿰目運
GHZR52695.06	⿰目當
GHZR52697.05	⿰目⿱炎电
GHZR52700.04	⿰目篗
GHZR52701.01	⿰目篾
GHZR52710.09	⿰田开
GHZR52714.01	⿱田𧘇
GHZR52718.01	⿰亩乆
GHZR52722.14	⿱⿻土从田
GHZR52731.09	⿳田母灬
GHZR52731.11	⿰田泰
GHZR52732.07	⿰田⿱矛示
GHZR52733.10	⿱⿰田田冝
GHZR52733.12	⿱奥田
GHZR52734.12	⿱炏𠖐
GHZR52737.12	⿱⿰田田𩄣
GHZR52737.15	⿰⿳田木田⿳回回田/⿳⿰田回⿰木回⿰田田
GHZR52738.02	⿰⿳田回田⿳田鳥田
GHZR52741.02	⿱𡗜皿
GHZR52743.08	⿱⿰子力皿
GHZR52749.05	⿱⿰片目皿
GHZR52751.07	⿱殸皿
GHZR52755.05	⿱與皿
GHZR52756.04	⿱⿰鹵有皿
GHZR52760.07	⿱少生
GHZR52766.27	⿰矢𡉵
GHZR52769.10	⿰矢𭦌
GHZR52777.12	⿰禾卆
GHZR52789.01	⿰禾巟
GHZR52789.20	⿰禾𡉵
GHZR52793.08	⿰禾⿱𠂊旧
GHZR52807.15	⿰禾𠳮
GHZR52814.05	⿰禾⿱占米
GHZR52817.01	⿰禾替
GHZR52825.05	⿰禾㢘
GHZR52830.06	⿰白人
GHZR52835.08	⿱白児
GHZR52838.08	⿰白𭪙
GHZR52839.15	⿰白⿸𢉖灬
GHZR52841.17	⿱瓜包
GHZR52843.02	⿰委瓜
GHZR52844.13	⿰⿱𦥷亏瓜
GHZR52874.10	⿸疒怨
GHZR52905.14	⿱殸立
GHZR52921.21	⿱穴呆
GHZR52923.19	⿱穴叔
GHZR52926.05	⿱穴𡋣
GHZR52926.09	⿱穴草
GHZR52937.04	⿱究敗
GHZR52943.03	⿳亡罒疋
GHZR52968.20	⿰耒𥇡
GHZR53130.27	⿱𨾱肉
GHZR53135.11	⿰缶⿱龷隹
GHZR53136.11	⿰缶畾
GHZR53140.13	⿰舌因
GHZR53142.19	⿰舌𪺏
GHZR53142.25	⿰舌翕
GHZR53147.03	⿱竹冄
GHZR63702.10	⿱歡糸
GHZR63706.06	⿺走与
GHZR63713.07	⿺走𪠲
GHZR63718.02	⿺走𧰨
GHZR63723.03	⿺走林
GHZR63726.11	⿺走貞
GHZR63728.14	⿺走𠳮
GHZR63729.10	⿺走㽜
GHZR63731.12	⿺走𠁅
GHZR63734.13	⿺走零
GHZR63740.09	⿱同赤
GHZR63748.12	⿰車勺
GHZR63756.03	⿰車⿵⿱丿冂人
GHZR63758.03	⿰車夘
GHZR63758.07	⿰車𠮦
GHZR63765.05	⿰車𣅀
GHZR63771.08	⿰車尿
GHZR63774.06	⿰車杲
GHZR63774.12	⿰車⿱口𠮢
GHZR63776.02	⿱𠈌車
GHZR63776.05	⿰車⿳爫一寸
GHZR63776.06	⿰車受
GHZR63776.08	⿰車⿹勹㱏
GHZR63778.03	⿰𨊿欠
GHZR63780.10	⿰車乗
GHZR63782.02	⿰車⿳凶𡭔又
GHZR63783.04	⿰車竒
GHZR63784.03	⿳厽大車
GHZR63785.12	⿰車⿱𠀐田
GHZR63786.02	⿰車隽
GHZR63786.10	⿱䡔氏
GHZR63788.04	⿰車⿱矛示
GHZR63791.03	⿰車⿳𠂊旧心
GHZR63792.06	⿰車畱
GHZR63793.06	⿰車㬅
GHZR63793.09	⿰車遄
GHZR63794.03	⿰車貿
GHZR63799.04	⿰車㢘
GHZR63800.16	⿰車⿱竹⿰⿱去月攵
GHZR63801.11	⿰車⿱艹𨶲
GHZR63804.11	⿱⿰土乍豆
GHZR63805.12	⿰豆栽
GHZR63806.05	⿱殸豆
GHZR63807.04	⿰豆畱
GHZR63822.13	⿰酉𥤦
GHZR63822.16	⿰酉⿱厼又
GHZR63831.02	⿰酉⿳厶八⿱⺌又
GHZR63834.04	⿰酉䀁
GHZR63834.07	⿰酉⿱非于
GHZR63836.06	⿰酉替
GHZR63841.01	⿰酉⿱覀𡬠
GHZR63853.12	⿱冈冡
GHZR63854.02	⿰⿱彡止豕
GHZR63855.06	⿰豕苓
GHZR63855.14	⿳龹彐𧰨
GHZR63855.20	⿰豕陏
GHZR63857.04	⿲豕彳⿱䒑之
GHZR63859.13	⿰豕⿱⿰耳𡿨乑
GHZR63860.06	⿰豕靈
GHZR73882.14	⿰貝⿸厂㠯
GHZR73886.02	⿱玫貝
GHZR73891.04	⿰貝匊
GHZR73895.07	⿰貝栽
GHZR73895.08	⿱卉貴
GHZR73896.04	⿰貝⿱共开
GHZR73898.01	⿱殸貝
GHZR73898.08	⿲貝至⿱上又
GHZR73898.18	⿰𭦌貝
GHZR73900.03	⿰貝⿸厃⿱八𢀛
GHZR73900.09	⿰貝𠔥
GHZR73901.04	⿰貝𠭥
GHZR73903.08	⿰貝㢘
GHZR73903.13	⿱⿰⿸虍人⿸虍人貝
GHZR73904.08	⿰貝⿸厃⿱𦬅言
GHZR73904.11	⿱⿰章㣊貝
GHZR73909.13	⿰𠮦見
GHZR73918.13	⿰⿱业隹見
GHZR73927.06	⿱𢪛厘
GHZR73927.07	⿱𠡠里
GHZR73944.08	⿰𧾷𭑃
GHZR73950.09	⿱次足
GHZR73954.06	⿰𧾷⿱𠂊旧
GHZR73955.06	⿰𧾷⿱厼又
GHZR73962.01	⿰𧾷⿵冂米
GHZR73966.12	⿰𧾷⿱共亐
GHZR73970.06	⿰𧾷𫥎
GHZR73972.11	⿰𧾷⿱承一
GHZR73973.10	⿰𧾷⿱龷米
GHZR74003.07	⿰巳阝
GHZR74007.04	⿰化阝
GHZR74012.05	⿰𠮦阝
GHZR74013.13	⿱屾邑
GHZR74021.01	⿰㠻阝
GHZR74032.10	⿰𠥆阝
GHZR74038.02	⿰⿱王回阝
GHZR74039.05	⿰⿱罒电阝
GHZR74039.06	⿰⿳山⺊𠕁阝
GHZR74044.09	⿰𭦌阝
GHZR74046.05	⿰𡨼阝
GHZR74047.05	⿰𣈅阝
GHZR74053.04	⿰⿸广⿱田用阝
GHZR74054.07	⿰⿱罒⿺𠃊非阝
GHZR74054.20	⿱𪏯邑
GHZR74055.14	⿰享𨜞
GHZR74056.01	⿰㬱阝
GHZR74058.15	⿰⿳霝工𠱠阝
GHZR74160.16	⿲谷亻⿱亡天
GHZR74161.02	⿰𡧱谷
GHZR74309.01	⿰辛𠔥
GHZR74310.01	⿰爾辛
GHZR74314.01	⿰青㝎
GHZR74317.14	⿰镸分
GHZR74319.05	⿰镸⿱大日
GHZR74319.18	⿰镸⿱𠂊吉
GHZR74320.03	⿰镸⿱夂缶
GHZR74320.09	⿰镸⿱正主
GHZR74329.01	⿱雨𡉵
GHZR74330.01	⿰雨見
GHZR74330.04	⿱雨男
GHZR74332.02	⿱雨⿰耳几
GHZR74332.03	⿱雨取
GHZR74334.07	⿱雨育
GHZR74337.09	⿱雨𢓤
GHZR74356.03	⿱毳非
GHZR74415.10	⿰竒隹
GHZR74416.08	⿰隹従
GHZR74423.21	⿰⿱含酉隹
GHZR74424.02	⿰賔隹
GHZR74427.05	⿰阜千
GHZR74427.11	⿰阜子
GHZR74429.14	⿰阝公
GHZR74431.03	⿰阜夬
GHZR74434.04	⿰阜乍
GHZR74436.01	⿰𨸏句
GHZR74438.04	⿰阝⿱大干
GHZR74438.06	⿰阝⿸厂文
GHZR74440.04	⿰阝⿱夕巳
GHZR74441.06	⿰阝㝎
GHZR74444.03	⿰𨸏肖
GHZR74445.08	⿰阝𡵯
GHZR74447.02	⿰阝⿱厼又
GHZR74448.01	⿰𨸏夌
GHZR74450.03	⿰阝郁
GHZR74451.16	⿰阜隹
GHZR74452.01	⿰阜阜
GHZR74452.03	⿰阝舍
GHZR74455.06	⿰阜享
GHZR74458.04	⿰阝昰
GHZR74461.01	⿰阝⿳日八女
GHZR74461.18	⿰阝叟
GHZR74462.01	⿰阝⿱白止
GHZR74464.01	⿰阝𥸭
GHZR74469.04	⿰阝⿳厼又山
GHZR74469.18	⿰阝⿸⑥丘
GHZR74470.13	⿰阜祭
GHZR74471.01	⿰阝⿱亠畏
GHZR74472.09	⿰阝替
GHZR74473.05	⿰阝⿱兂⿰兂兂
GHZR74474.03	⿰阝⿱央貝
GHZR74476.01	⿰阝𠔥
GHZR74476.12	⿰阝雽
GHZR74478.14	⿰阝⿱耳⿰耳𡿨
GHZR74481.03	⿱随𠇍
GHZR74481.05	⿰阝戱
GHZR74481.06	⿲阝虗戈
GHZR74481.10	⿰阝𤕨
GHZR74481.12	⿰阝⿱取取
GHZR74482.01	⿱隊氽
GHZR74482.11	⿱隊炏
GHZR74482.17	⿲𨸏益阜
GHZR74482.18	⿲𨸏益⑦
GHZR84685.02	⿰⿳自穴口頁
GHZR84717.06	⿺鬼升
GHZR84717.17	⿱勿鬼
GHZR84720.02	⿺鬼尒
GHZR84720.18	⿱鬼虫
GHZR84723.05	⿱罔鬼
GHZR84724.12	⿺鬼竒
GHZR84727.07	⿺鬼𡬽
GHZR84728.06	⿰賔鬼
GHZR84728.20	⿰⿳霝大王鬼
GHZR84775.09	⿰占風
GHZR84775.15	⿺風夘
