JTB433	⿺津丶
JTB437	⿰氵⿱艹⿵冂厶
JTB43C	⿰氵
JTB444	⿰氵岺
JTB445	⿰氵刺
JTB44D	⿰氵劵
JTB457	⿰氵⿱共廾
JTB45D	⿰氵𠩤
JTB45E	⿰氵⿱田天
JTB462	⿰氵𫞪
JTB464	⿰氵⿱止比
JTB465	⿰氵⿱⿵冂山
JTB469	⿲氵壳力
JTB46A	⿰氵𠜒
JTB474S	⿰氵𠅝
JTB479	⿰氵⿱𠔉夭
JTB47A	⿰氵⿱両
JTB47B	⿰氵⿱⿵冂水
JTB480	⿲氵畄刂
JTB481	⿰氵純
JTB482	⿰氵⿱共水
JTB483	⿲氵⿱方力
JTB486S	⿱物
JTB48E	⿰氵盒
JTB48F	⿰氵⿱白光
JTB490	⿰氵𢚩
JTB491	⿲氵肓攵
JTB492	⿰氵⿸虍目
JTB493S	⿰氵𥏇
JTB499	⿰氵⿱龷⿻巾⿰㐅㐅
JTB49BS	⿰氵⿱龷⿻巾从
JTB49C	⿰氵⿱龷⿵冂氺
JTB49D	⿰氵⿱龷⿻冂氺
JTB49ES	⿰氵⿱廿⿻冂氺
JTB49F	⿰氵𦲸
JTB4A0S	⿰氵𦲸
JTB4A1	⿰氵⿱？
JTB4A2	⿰氵⿱？
JTB4A3	⿰氵⿱⿰𠫔𠫔百
JTB4A6S	⿰氵敏
JTB4A7	⿱五𪶀
JTB4B7	⿰氵⿳士罒心
JTB4B8S	⿰氵⿳冖臼勿
JTB4BB	⿰氵㪘
JTB4BCS	⿰氵⿱雨
JTB4BD	⿰氵⿱雨
JTB4BE	⿰氵⿱⿻帀从
JTB4BF	⿰氵⿱⿻帀𠓜
JTB4C4	⿰氵⿱⿱一田⿱一田
JTB4CD	⿰氵⿱宀屓
JTB4CFS	⿰氵寛
JTB4D1	⿰氵晸
JTB4D2	⿰氵⿳亠回皿
JTB4DA	⿰氵⿸虍⿱夂目
JTB4E3	⿰氵蓴
JTB4E4	⿰氵⿱止⿱冖⿱日
JTB4E5	⿲氵关隹
JTB4ED	⿰氵⿱罒𢇁
JTB4EF	⿰氵⿱廿⿻巾𠈌
JTB4F0S	⿰氵⿱艹
JTB4F1	⿰氵⿱龷
JTB4F2	⿰氵⿱艹
JTB4F7	⿰氵播
JTB4F8S	⿰氵⿳业丷取
JTB502	⿰氵？
JTB503	⿰氵⿳廿一
JTB506	⿰氵鴨
JTB507	⿰氵𥱋
JTB508	⿰氵劔
JTB509S	⿰氵齋
JTB50AS	⿰氵齋
JTB514	⿱加灬
JTB518	⿱⿰日巳灬
JTB519	⿱里火
JTB51B	⿱⿱？一灬
JTB521	⿱火
JTB522	⿰火取
JTB523	⿰火炅
JTB530	⿰火苙
JTB531	⿱兪灬
JTB53C	⿱⿰氵𠭃灬
JTB53D	⿱⿰臣召灬
JTB53E	⿱兹灬
JTB53F	⿰火茟
JTB548	⿰火⿱艹⿱巫十
JTB549	⿱⿰氵臤灬
JTB54AS	⿱執火
JTB554	⿱⿲氵臣巳灬
JTB55A	⿰元𤋮
JTB56F	⿰爿共
JTB578	⿰牜允
JTB579	⿱収牛
JTB57A	⿱⿳亠丷冖牛
JTB57C	⿱⿰禾勿牛
JTB57F	⿰犭衣
JTB580	⿰犭酉
JTB581	⿰犭児
JTB584	⿱⿰犭子皿
JTB588S	⿰犭建
